Site_Type,Site_Code,Genus_Code,Species_Code,Cultivar_Code,Species_Latin,Species_Common,Native_SLL,Native_ETF,Invasive,Latitude,Longitude,DBH
S,S1,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.459467,-73.637747,65.9
S,S1,AC,ACPL,ACPLDE,Acer platanoides 'Deborah',Deborah Norway Maple,N,N,Y,45.459511,-73.637867,17.2
S,S1,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.459732,-73.638442,57.9
S,S1,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.459772,-73.63855,56.3
S,S1,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.459822,-73.638666,59.2
S,S1,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.459867,-73.638782,49.7
S,S1,TI,TIAM,TIAMRE,Tilia americana 'Redmond',Redmond American Linden,Y,Y,N,45.459911,-73.638895,32.2
S,S1,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.459952,-73.638995,57.1
S,S1,AE,AEHI,AEHI,Aesculus hippocastanum,Common Horsechesnut,N,N,N,45.459988,-73.639089,79.9
S,S1,AC,ACPL,ACPL,Acer platanoides,Norway Maple,N,N,Y,45.460039,-73.639221,73.5
S,S1,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.460091,-73.639351,53.5
S,S1,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.460131,-73.639461,68.9
S,S1,QU,QURU,QURU,Quercus rubra,Red Oak,Y,Y,N,45.460232,-73.639724,11.5
S,S1,TI,TICO,TICOGL,Tilia cordata 'Glenleven',Glenleven Littleleaf Linden,N,N,N,45.460261,-73.639803,37.7
S,S1,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.46032,-73.639955,56.9
S,S1,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.460355,-73.640036,56.8
S,S1,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.460368,-73.640612,48.4
S,S1,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.460413,-73.640744,85.9
S,S1,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.460516,-73.641002,47.4
S,S1,AC,ACPL,ACPLDE,Acer platanoides 'Deborah',Deborah Norway Maple,N,N,Y,45.460557,-73.6411,16.6
S,S1,LI,LITU,LITU,Liriodendron tulipifera,Tulip Tree,N,Y,N,45.460601,-73.641221,5.8
S,S1,AC,ACPL,ACPLDE,Acer platanoides 'Deborah',Deborah Norway Maple,N,N,Y,45.460893,-73.641968,28
S,S1,AC,ACPL,ACPLDE,Acer platanoides 'Deborah',Deborah Norway Maple,N,N,Y,45.461032,-73.642334,34.2
S,S1,GL,GLTR,GLTR,Gleditsia triacanthos,Common Honey-Locust,N,Y,N,45.459323,-73.63734,7
S,S1,AC,ACPL,ACPL,Acer platanoides,Norway Maple,N,N,Y,45.4595759,-73.6380154,69.5
S,S10,PI,PIPU,PIPUGL,Picea pungens 'Glauca',Glauca Blue Spruce,N,N,N,45.464022,-73.629914,18.8
S,S10,CE,CEOC,CEOC,Celtis occidentalis,Common Hackberry,Y,Y,N,45.463913,-73.629665,35.1
S,S10,CE,CEOC,CEOC,Celtis occidentalis,Common Hackberry,Y,Y,N,45.463976,-73.629816,34.8
S,S10,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.464416,-73.630798,37.1
S,S10,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,Y,Y,N,45.464218,-73.63036,52.9
S,S10,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.464307,-73.63056,98.6
S,S10,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.46447,-73.630933,37.9
S,S10,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.46464,-73.631322,39.8
S,S10,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.464689,-73.631439,51
S,S10,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.464586,-73.631194,42.8
S,S10,CE,CEOC,CEOC,Celtis occidentalis,Common Hackberry,Y,Y,N,45.464775,-73.631608,52.4
S,S10,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.464847,-73.631771,62.9
S,S10,CE,CEOC,CEOC,Celtis occidentalis,Common Hackberry,Y,Y,N,45.464945,-73.632004,48.2
S,S100,AC,ACPL,ACPL,Acer platanoides,Norway Maple,N,N,Y,45.458683,-73.646089,70.2
S,S100,AC,ACPL,ACPL,Acer platanoides,Norway Maple,N,N,Y,45.458737,-73.646235,68.6
S,S100,AC,ACPL,ACPL,Acer platanoides,Norway Maple,N,N,Y,45.45884,-73.646488,44.8
S,S100,AC,ACPL,ACPL,Acer platanoides,Norway Maple,N,N,Y,45.458939,-73.646752,68.7
S,S100,QU,QURO,QUROFA,Quercus robur 'Fastigiata',Fastigiate English Oak,N,N,N,45.45902,-73.646958,31.7
S,S100,GI,GIBI,GIBIPS,Ginkgo biloba 'Princeton Sentry',Princeton Sentry Maidenhair Tree,N,N,N,45.4591,-73.647168,5.3
S,S100,OS,OSVI,OSVI,Ostrya virginiana,American Hop-Hornbeam Ironwood,Y,Y,N,45.45915,-73.647273,6
S,S100,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.459208,-73.647439,68.4
S,S100,UL,ULHO,ULXXHO,Ulmus x 'Homestead',Homestead Elm,N,N,N,45.459281,-73.647619,5.1
S,S100,AC,ACPL,ACPL,Acer platanoides,Norway Maple,N,N,Y,45.459302,-73.647693,52.4
S,S100,UL,ULMO,ULXXMO,Ulmus x 'Morton' (Accolade TM),Morton (Accolade TM) Elm,N,N,N,45.459369,-73.647872,13.4
S,S100,AC,ACPL,ACPL,Acer platanoides,Norway Maple,N,N,Y,45.459531,-73.648275,72.5
S,S100,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.459661,-73.648616,66.8
S,S100,AC,ACPL,ACPL,Acer platanoides,Norway Maple,N,N,Y,45.459719,-73.648791,43.1
S,S101,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.464181,-73.623432,71.2
S,S101,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.464239,-73.623554,55.1
S,S101,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.464293,-73.623689,61.6
S,S101,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.464365,-73.62384,61.9
S,S101,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.464419,-73.623974,63.3
S,S101,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.464468,-73.624075,63.8
S,S101,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.464531,-73.624223,85.6
S,S101,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.464576,-73.624312,60.5
S,S101,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.464616,-73.624411,59.7
S,S101,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.464652,-73.624507,66.8
S,S101,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.464738,-73.62469,63.7
S,S101,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.4648,-73.624816,60.4
S,S101,AC,ACFR,ACFRMA,Acer x freemanii 'Marmo',Acer x freemanii Marmo,Y,Y,N,45.464904,-73.625067,6
S,S101,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.464948,-73.625162,70.2
S,S101,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.464993,-73.625269,59.2
S,S101,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.465092,-73.625483,38.9
S,S101,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.465056,-73.625393,60
S,S102,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.456224,-73.641382,73
S,S102,AC,ACPL,ACPLDE,Acer platanoides 'Deborah',Deborah Norway Maple,N,N,Y,45.456264,-73.641492,27.3
S,S102,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,N,N,N,45.456327,-73.641658,45.6
S,S102,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,Y,Y,N,45.456412,-73.641845,90.3
